date,usd_buy_black_market,usd_sell_black_market,usd_buy_bank,usd_sell_bank,usd_deposit_bank,gap_black_market,gap_bank,difference_buy,difference_sell
17-05-2021,23300,23350,22910,23140,22940,50,230,0.01702313400261901,0.00907519446845284
18-05-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
19-05-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
20-05-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
21-05-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
22-05-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
23-05-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
24-05-2021,23300,23350,22930,23160,22960,50,230,0.016136066288704676,0.00820379965457696
25-05-2021,23300,23350,22930,23160,22960,50,230,0.016136066288704676,0.00820379965457696
26-05-2021,23300,23350,22930,23160,22960,50,230,0.016136066288704676,0.00820379965457696
27-05-2021,23300,23350,22910,23140,22940,50,230,0.01702313400261901,0.00907519446845284
28-05-2021,23300,23350,22910,23140,22940,50,230,0.01702313400261901,0.00907519446845284
29-05-2021,23300,23350,22910,23140,22940,50,230,0.01702313400261901,0.00907519446845284
30-05-2021,23300,23350,22910,23140,22940,50,230,0.01702313400261901,0.00907519446845284
31-05-2021,23300,23350,22915,23145,22945,50,230,0.016801221907047692,0.008857204579822753
01-06-2021,23300,23350,22915,23145,22945,50,230,0.016801221907047692,0.008857204579822753
02-06-2021,23300,23350,22915,23145,22945,50,230,0.016801221907047692,0.008857204579822753
03-06-2021,23300,23350,22910,23140,22940,50,230,0.01702313400261901,0.00907519446845284
04-06-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
05-06-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
06-06-2021,23300,23350,22920,23150,22950,50,230,0.016579406631762605,0.008639308855291628
07-06-2021,23150,23200,22840,23070,22870,50,230,0.013572679509632257,0.00563502384048542
08-06-2021,23130,23180,22830,23060,22860,50,230,0.013140604467805517,0.005203816131829964
09-06-2021,23130,23180,22830,23060,22860,50,230,0.013140604467805517,0.005203816131829964
10-06-2021,23130,23180,22810,23040,22840,50,230,0.014028934677772886,0.0060763888888888395
11-06-2021,23080,23130,22820,23050,22850,50,230,0.011393514460999121,0.003470715835141025
12-06-2021,23080,23130,22820,23050,22850,50,230,0.011393514460999121,0.003470715835141025
13-06-2021,23030,23080,22820,23050,22850,50,230,0.009202453987730008,0.0013015184381779399
14-06-2021,23030,23080,22820,23050,22850,50,230,0.009202453987730008,0.0013015184381779399
15-06-2021,23020,23060,22820,23050,22850,40,230,0.00876424189307623,0.0004338394793925726
16-06-2021,23020,23050,22820,23050,22850,30,230,0.00876424189307623,0.0
17-06-2021,23020,23050,22830,23060,22860,30,230,0.008322382829610175,-0.00043365134431916363
18-06-2021,23030,23080,22880,23110,22910,50,230,0.006555944055943952,-0.0012981393336217728
19-06-2021,23220,23320,22880,23110,22910,100,230,0.014860139860139787,0.009086975335352632
20-06-2021,23220,23320,22880,23110,22910,100,230,0.014860139860139787,0.009086975335352632
21-06-2021,23230,23330,22890,23120,22920,100,230,0.014853647881170717,0.009083044982698851
22-06-2021,23170,23230,22890,23120,22920,60,230,0.012232415902140747,0.004757785467128128
23-06-2021,23180,23210,22890,23120,22920,30,230,0.012669287898645631,0.0038927335640137617
24-06-2021,23180,23210,22870,23100,22900,30,230,0.013554875382597364,0.004761904761904745
25-06-2021,23250,23300,22880,23110,22910,50,230,0.016171328671328755,0.008221549112938042
26-06-2021,23250,23300,22880,23110,22910,50,230,0.016171328671328755,0.008221549112938042
27-06-2021,23250,23300,22880,23110,22910,50,230,0.016171328671328755,0.008221549112938042
28-06-2021,23270,23320,22890,23120,22920,50,230,0.01660113586719092,0.00865051903114189
29-06-2021,23300,23340,22890,23120,22920,40,230,0.017911751856706015,0.009515570934256035
30-06-2021,23320,23370,22890,23120,22920,50,230,0.018785495849716005,0.010813148788927363
